"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 08-Feb-2023"
"NIFTY MIDCAP SELECT","10,875.70","10,878.25","10,591.35","10,846.00","10,746.75","-99.25","-0.92","16,35,13,027","7,049.67","10,946.20","6,054.20","4.06","54.12"
"BHARATFORG","1,285.00","1,321.25","1,272.80","1,282.30","1,319.45","37.15","2.90","19,36,968","252.66","1,321.25","743.55","0.66","48.00"
"GODREJPROP","2,232.00","2,265.45","2,175.35","2,216.75","2,259.95","43.20","1.95","5,99,951","133.03","2,453.70","1,005.00","-1.08","87.20"
"JUBLFOOD","475.05","484.00","475.05","474.70","482.00","7.30","1.54","17,99,709","86.45","586.95","412.10","-9.51","7.07"
"INDHOTEL","525.60","537.00","523.45","525.10","533.00","7.90","1.50","50,10,339","266.26","537.00","298.20","14.51","64.89"
"AUBANK","600.00","605.75","592.25","595.60","604.00","8.40","1.41","23,43,193","140.39","813.40","548.00","-23.38","-8.23"
"BANDHANBNK","216.00","216.85","211.30","214.15","216.65","2.50","1.17","1,02,52,190","219.78","272.00","182.15","-8.83","-10.42"
"IDFCFIRSTB","81.00","81.60","79.50","81.00","81.50","0.50","0.62","3,81,53,515","306.95","100.70","52.10","-3.86","36.13"
"CUMMINSIND","2,599.85","2,638.55","2,546.65","2,585.25","2,600.00","14.75","0.57","15,43,044","402.19","2,648.80","1,444.60","27.61","75.35"
"FEDERALBNK","147.00","147.65","143.35","146.65","147.45","0.80","0.55","1,08,58,332","158.25","159.30","121.00","-3.17","11.65"
"AUROPHARMA","1,012.60","1,021.00","977.00","1,002.60","1,004.75","2.15","0.21","30,18,914","301.92","1,177.10","415.50","-10.45","125.28"
"PERSISTENT","8,679.00","8,699.50","8,570.15","8,629.85","8,619.05","-10.80","-0.13","1,59,345","137.52","8,830.00","3,962.05","18.35","78.53"
"POLYCAB","4,319.60","4,329.65","4,250.00","4,319.60","4,312.40","-7.20","-0.17","2,72,178","116.82","5,733.00","2,753.90","-11.25","45.01"
"MPHASIS","2,580.00","2,648.00","2,550.55","2,597.50","2,592.00","-5.50","-0.21","4,13,772","107.16","2,788.50","1,660.05","1.64","22.13"
"BALKRISIND","2,330.00","2,330.00","2,279.35","2,311.50","2,305.10","-6.40","-0.28","2,68,270","61.56","2,795.50","1,908.90","-11.89","-0.78"
"HDFCAMC","3,667.80","3,690.00","3,577.70","3,643.35","3,630.85","-12.50","-0.34","2,55,776","92.72","3,690.00","1,589.50","6.68","90.65"
"VOLTAS","1,072.45","1,074.80","1,035.30","1,064.65","1,060.00","-4.65","-0.44","11,94,904","125.79","1,101.00","745.00","7.17","28.67"
"ABBOTINDIA","28,400.00","28,448.85","28,020.65","28,258.30","28,060.00","-198.30","-0.70","13,645","38.47","28,847.85","19,900.00","16.62","32.80"
"CONCOR","961.00","971.55","910.10","950.85","942.00","-8.85","-0.93","27,99,156","264.30","971.55","555.00","7.33","54.27"
"ASTRAL","1,879.00","1,880.95","1,835.55","1,873.45","1,853.90","-19.55","-1.04","3,58,805","66.53","2,058.00","1,297.80","2.81","-7.90"
"PAGEIND","36,740.00","36,950.00","35,860.70","36,740.75","36,250.00","-490.75","-1.34","29,635","107.49","43,570.00","34,952.65","0.79","-6.63"
"ASHOKLEY","176.10","176.40","169.85","176.00","173.20","-2.80","-1.59","1,56,45,449","269.88","191.50","133.10","-0.73","18.52"
"COFORGE","6,641.95","6,642.00","6,471.00","6,608.35","6,497.00","-111.35","-1.68","1,82,872","119.28","6,789.00","3,564.75","8.91","52.64"
"HINDPETRO","526.00","526.45","489.30","525.15","509.45","-15.70","-2.99","97,89,453","493.70","541.00","211.65","19.53","126.50"
"MRF","1,43,750.00","1,43,750.00","1,36,300.00","1,42,483.10","1,37,120.00","-5,363.09","-3.76","26,613","369.79","1,50,254.15","81,380.05","8.19","54.41"
"PFC","463.00","463.00","406.75","468.55","429.50","-39.05","-8.33","5,65,86,999","2,410.78","477.80","109.36","18.98","226.29"
