"Date","Open","High","Low","Close","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)"
"Mon Aug 26 2024 09:15:00 GMT+0530 (India Standard Time)","60.00","63.70","50.55","50.55","53.87","49.02","44.17"
"Mon Aug 26 2024 09:20:00 GMT+0530 (India Standard Time)","50.85","54.20","47.90","52.35","54.24","49.30","44.36"
"Mon Aug 26 2024 09:25:00 GMT+0530 (India Standard Time)","52.35","56.50","52.35","56.00","55.36","49.76","44.16"
"Mon Aug 26 2024 09:30:00 GMT+0530 (India Standard Time)","56.00","67.00","52.90","67.00","59.96","50.80","41.65"
"Mon Aug 26 2024 09:35:00 GMT+0530 (India Standard Time)","66.50","92.25","65.55","89.90","72.13","52.96","33.79"
"Mon Aug 26 2024 09:40:00 GMT+0530 (India Standard Time)","88.80","101.10","88.30","95.70","81.90","55.36","28.83"
"Mon Aug 26 2024 09:45:00 GMT+0530 (India Standard Time)","95.70","96.80","85.15","89.10","87.50","57.33","27.16"
"Mon Aug 26 2024 09:50:00 GMT+0530 (India Standard Time)","88.95","94.95","86.90","94.95","93.67","59.58","25.48"
"Mon Aug 26 2024 09:55:00 GMT+0530 (India Standard Time)","94.55","101.65","91.40","93.30","98.45","61.90","25.35"
"Mon Aug 26 2024 10:00:00 GMT+0530 (India Standard Time)","93.25","94.20","85.90","90.95","101.96","64.20","26.43"
"Mon Aug 26 2024 10:05:00 GMT+0530 (India Standard Time)","90.50","95.00","87.50","93.75","105.50","66.56","27.62"
"Mon Aug 26 2024 10:10:00 GMT+0530 (India Standard Time)","93.75","114.90","91.80","110.85","112.14","69.69","27.23"
"Mon Aug 26 2024 10:15:00 GMT+0530 (India Standard Time)","110.85","135.00","109.15","128.10","121.94","73.68","25.42"
"Mon Aug 26 2024 10:20:00 GMT+0530 (India Standard Time)","128.10","128.10","113.90","115.20","127.15","76.92","26.69"
"Mon Aug 26 2024 10:25:00 GMT+0530 (India Standard Time)","115.10","117.55","102.70","102.70","129.39","79.55","29.72"
"Mon Aug 26 2024 10:30:00 GMT+0530 (India Standard Time)","104.00","107.90","91.15","95.80","130.28","81.81","33.34"
"Mon Aug 26 2024 10:35:00 GMT+0530 (India Standard Time)","95.80","101.65","91.60","99.60","131.17","84.22","37.27"
"Mon Aug 26 2024 10:40:00 GMT+0530 (India Standard Time)","99.75","102.50","93.00","96.40","131.16","86.48","41.79"
"Mon Aug 26 2024 10:45:00 GMT+0530 (India Standard Time)","96.40","97.05","90.00","91.75","130.52","88.36","46.21"
"Mon Aug 26 2024 10:50:00 GMT+0530 (India Standard Time)","91.75","91.75","79.00","79.75","128.92","89.68","50.45"
"Mon Aug 26 2024 10:55:00 GMT+0530 (India Standard Time)","79.75","88.70","79.40","87.05","126.46","91.51","56.56"
"Mon Aug 26 2024 11:00:00 GMT+0530 (India Standard Time)","86.70","89.10","79.40","80.65","123.42","92.92","62.43"
"Mon Aug 26 2024 11:05:00 GMT+0530 (India Standard Time)","80.70","86.30","80.15","85.65","120.09","94.41","68.73"
"Mon Aug 26 2024 11:10:00 GMT+0530 (India Standard Time)","85.45","88.10","83.55","85.15","118.18","95.32","72.45"
"Mon Aug 26 2024 11:15:00 GMT+0530 (India Standard Time)","85.45","90.25","84.25","86.50","118.22","95.15","72.07"
"Mon Aug 26 2024 11:20:00 GMT+0530 (India Standard Time)","86.50","92.30","85.80","91.65","118.07","94.94","71.82"
"Mon Aug 26 2024 11:25:00 GMT+0530 (India Standard Time)","92.00","93.15","87.95","92.15","118.10","95.10","72.09"
"Mon Aug 26 2024 11:30:00 GMT+0530 (India Standard Time)","91.75","99.45","91.30","98.30","118.31","95.26","72.21"
"Mon Aug 26 2024 11:35:00 GMT+0530 (India Standard Time)","98.30","112.95","96.55","111.45","120.25","96.17","72.09"
"Mon Aug 26 2024 11:40:00 GMT+0530 (India Standard Time)","111.45","113.60","104.60","106.30","121.28","96.94","72.60"
"Mon Aug 26 2024 11:45:00 GMT+0530 (India Standard Time)","106.20","109.00","98.30","100.90","121.65","97.30","72.94"
"Mon Aug 26 2024 11:50:00 GMT+0530 (India Standard Time)","100.90","103.95","98.75","100.80","120.41","96.79","73.18"
"Mon Aug 26 2024 11:55:00 GMT+0530 (India Standard Time)","101.00","101.25","94.40","98.00","114.07","95.29","76.50"
"Mon Aug 26 2024 12:00:00 GMT+0530 (India Standard Time)","97.95","103.50","97.75","102.60","111.47","94.66","77.84"
"Mon Aug 26 2024 12:05:00 GMT+0530 (India Standard Time)","102.60","103.90","101.20","102.45","111.43","94.65","77.86"
"Mon Aug 26 2024 12:10:00 GMT+0530 (India Standard Time)","102.45","102.55","90.75","92.30","111.28","94.47","77.66"
"Mon Aug 26 2024 12:15:00 GMT+0530 (India Standard Time)","92.30","95.70","89.65","95.30","110.91","94.26","77.60"
"Mon Aug 26 2024 12:20:00 GMT+0530 (India Standard Time)","95.30","98.50","92.35","93.05","110.72","94.09","77.46"
"Mon Aug 26 2024 12:25:00 GMT+0530 (India Standard Time)","92.95","96.65","92.05","96.15","110.92","94.31","77.69"
"Mon Aug 26 2024 12:30:00 GMT+0530 (India Standard Time)","96.15","103.55","95.50","103.10","111.09","95.48","79.86"
"Mon Aug 26 2024 12:35:00 GMT+0530 (India Standard Time)","103.35","111.70","102.50","110.85","113.13","96.67","80.20"
"Mon Aug 26 2024 12:40:00 GMT+0530 (India Standard Time)","110.90","120.40","104.75","104.95","112.97","97.88","82.79"
"Mon Aug 26 2024 12:45:00 GMT+0530 (India Standard Time)","105.45","111.00","100.10","101.15","112.71","98.66","84.60"
"Mon Aug 26 2024 12:50:00 GMT+0530 (India Standard Time)","101.25","103.40","97.15","99.80","112.00","99.39","86.77"
"Mon Aug 26 2024 12:55:00 GMT+0530 (India Standard Time)","99.80","105.00","97.45","103.75","111.51","100.25","88.99"
"Mon Aug 26 2024 13:00:00 GMT+0530 (India Standard Time)","103.90","110.25","103.80","109.65","112.39","101.15","89.91"
"Mon Aug 26 2024 13:05:00 GMT+0530 (India Standard Time)","109.70","111.70","105.40","110.75","113.27","102.08","90.89"
"Mon Aug 26 2024 13:10:00 GMT+0530 (India Standard Time)","110.75","113.40","107.10","110.85","114.37","102.71","91.04"
"Mon Aug 26 2024 13:15:00 GMT+0530 (India Standard Time)","110.60","112.00","101.85","102.65","113.22","102.27","91.31"
"Mon Aug 26 2024 13:20:00 GMT+0530 (India Standard Time)","102.70","103.55","99.60","103.30","112.93","102.12","91.30"
"Mon Aug 26 2024 13:25:00 GMT+0530 (India Standard Time)","103.30","106.80","102.20","102.55","113.00","102.20","91.40"
"Mon Aug 26 2024 13:30:00 GMT+0530 (India Standard Time)","103.35","104.70","98.85","99.90","112.99","102.15","91.32"
"Mon Aug 26 2024 13:35:00 GMT+0530 (India Standard Time)","99.90","101.40","97.80","100.55","112.97","102.28","91.59"
"Mon Aug 26 2024 13:40:00 GMT+0530 (India Standard Time)","100.55","100.85","95.20","95.85","112.99","101.94","90.90"
"Mon Aug 26 2024 13:45:00 GMT+0530 (India Standard Time)","95.85","98.10","91.55","97.75","112.91","101.71","90.51"
"Mon Aug 26 2024 13:50:00 GMT+0530 (India Standard Time)","97.95","100.80","95.70","100.00","112.47","102.09","91.72"
"Mon Aug 26 2024 13:55:00 GMT+0530 (India Standard Time)","99.95","104.50","99.75","103.60","112.42","102.51","92.60"
"Mon Aug 26 2024 14:00:00 GMT+0530 (India Standard Time)","103.60","104.65","100.30","102.00","111.87","102.96","94.04"
"Mon Aug 26 2024 14:05:00 GMT+0530 (India Standard Time)","102.00","102.45","95.70","99.00","111.66","103.10","94.54"
"Mon Aug 26 2024 14:10:00 GMT+0530 (India Standard Time)","99.00","100.05","95.20","98.25","111.68","102.86","94.04"
"Mon Aug 26 2024 14:15:00 GMT+0530 (India Standard Time)","98.25","106.55","98.10","105.25","110.69","102.58","94.47"
"Mon Aug 26 2024 14:20:00 GMT+0530 (India Standard Time)","105.25","107.85","104.30","105.90","110.80","102.63","94.45"
"Mon Aug 26 2024 14:25:00 GMT+0530 (India Standard Time)","105.65","106.40","101.65","103.85","110.93","102.76","94.59"
"Mon Aug 26 2024 14:30:00 GMT+0530 (India Standard Time)","103.85","107.25","102.50","106.70","111.32","103.10","94.89"
"Mon Aug 26 2024 14:35:00 GMT+0530 (India Standard Time)","106.70","109.55","106.05","107.30","111.70","103.28","94.86"
"Mon Aug 26 2024 14:40:00 GMT+0530 (India Standard Time)","107.30","108.70","101.25","101.55","110.80","102.88","94.96"
"Mon Aug 26 2024 14:45:00 GMT+0530 (India Standard Time)","101.30","105.00","101.30","103.20","109.55","102.50","95.45"
"Mon Aug 26 2024 14:50:00 GMT+0530 (India Standard Time)","103.25","105.55","102.95","103.60","108.10","102.14","96.18"
"Mon Aug 26 2024 14:55:00 GMT+0530 (India Standard Time)","103.65","105.50","101.50","103.70","108.19","102.19","96.19"
"Mon Aug 26 2024 15:00:00 GMT+0530 (India Standard Time)","103.25","104.35","96.40","98.40","108.14","101.94","95.75"
"Mon Aug 26 2024 15:05:00 GMT+0530 (India Standard Time)","98.40","99.35","93.80","98.20","108.12","101.73","95.33"
"Mon Aug 26 2024 15:10:00 GMT+0530 (India Standard Time)","98.15","98.15","94.15","96.35","108.32","101.55","94.78"
"Mon Aug 26 2024 15:15:00 GMT+0530 (India Standard Time)","96.30","101.70","96.30","99.20","108.32","101.48","94.64"
"Mon Aug 26 2024 15:20:00 GMT+0530 (India Standard Time)","99.30","102.25","97.00","98.85","108.09","101.63","95.17"
"Mon Aug 26 2024 15:25:00 GMT+0530 (India Standard Time)","99.20","99.20","96.40","96.70","108.18","101.58","94.98"
