"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-06-12 15:25:24","SELL","NIFTY2561924800CE","MIS","375/375",228.42,"COMPLETE",""
"2025-06-12 15:25:10","SELL","NIFTY2561924800CE","MIS","0/375",231,"CANCELLED",""
"2025-06-12 15:23:46","BUY","NIFTY2561924800CE","MIS","375/375",230.25,"COMPLETE",""
"2025-06-12 15:21:27","SELL","NIFTY2561224800CE","MIS","1500/1500",88,"COMPLETE",""
"2025-06-12 15:17:33","BUY","NIFTY2561224800CE","MIS","1500/1500",86.62,"COMPLETE",""
"2025-06-12 15:16:31","SELL","NIFTY2561225050PE","NRML","1500/1500",166.53,"COMPLETE",""
"2025-06-12 15:15:23","BUY","NIFTY2561225050PE","NRML","1500/1500",161.25,"COMPLETE",""
"2025-06-12 15:14:02","SELL","NIFTY2561224800CE","MIS","1500/1500",92,"COMPLETE",""
"2025-06-12 15:05:57","BUY","NIFTY2561224800CE","MIS","1500/1500",102,"COMPLETE",""
"2025-06-12 15:03:23","SELL","NIFTY2561224800CE","MIS","1500/1500",106,"COMPLETE",""
"2025-06-12 15:01:55","BUY","NIFTY2561224800CE","MIS","1500/1500",110,"COMPLETE",""
"2025-06-12 14:59:16","SELL","NIFTY2561224800CE","MIS","1500/1500",108,"COMPLETE",""
"2025-06-12 14:48:46","BUY","NIFTY2561224800CE","MIS","1500/1500",107.22,"COMPLETE",""
"2025-06-12 14:48:09","SELL","NIFTY2561224800CE","MIS","1500/1500",96,"COMPLETE",""
"2025-06-12 14:46:14","BUY","NIFTY2561224800CE","MIS","1500/1500",90,"COMPLETE",""
"2025-06-12 14:45:43","SELL","NIFTY2561224800CE","MIS","1500/1500",98,"COMPLETE",""
"2025-06-12 14:44:57","BUY","NIFTY2561224800CE","MIS","1500/1500",90.25,"COMPLETE",""
"2025-06-12 14:43:38","SELL","NIFTY2561224800CE","MIS","1500/1500",94,"COMPLETE",""
"2025-06-12 14:42:19","BUY","NIFTY2561224800CE","MIS","1500/1500",92.65,"COMPLETE",""
"2025-06-12 14:41:51","SELL","NIFTY2561224800CE","MIS","1500/1500",91.75,"COMPLETE",""
"2025-06-12 14:41:51","BUY","NIFTY2561224800CE","MIS","1500/1500",91.98,"COMPLETE",""
"2025-06-12 14:41:32","SELL","NIFTY2561224800CE","MIS","1500/1500",94,"COMPLETE",""
"2025-06-12 14:39:15","SELL","NIFTY2561224800CE","MIS","0/1500",0,"REJECTED",""
"2025-06-12 14:38:04","SELL","NIFTY2561224800CE","MIS","0/1500",90,"REJECTED",""
"2025-06-12 14:38:01","BUY","NIFTY2561224800CE","MIS","1500/1500",87,"COMPLETE",""
"2025-06-12 14:37:22","SELL","NIFTY2561224800CE","MIS","0/1200",107.2,"REJECTED",""
"2025-06-12 14:37:22","SELL","NIFTY2561224800CE","MIS","1500/1500",90,"COMPLETE",""
"2025-06-12 14:37:13","BUY","NIFTY2561224800CE","MIS","1500/1500",87.2,"COMPLETE",""
"2025-06-12 14:36:26","SELL","NIFTY2561224800CE","MIS","1500/1500",90,"COMPLETE",""
"2025-06-12 14:36:24","BUY","NIFTY2561224800CE","MIS","1500/1500",90,"COMPLETE",""
"2025-06-12 14:36:06","SELL","NIFTY2561224800CE","MIS","1500/1500",91.69,"COMPLETE",""
"2025-06-12 14:36:05","BUY","NIFTY2561224800CE","MIS","1500/1500",91.3,"COMPLETE",""
"2025-06-12 14:31:39","SELL","NIFTY2561224800CE","MIS","1500/1500",90,"COMPLETE",""
"2025-06-12 14:31:02","BUY","NIFTY2561224800CE","MIS","1500/1500",84.75,"COMPLETE",""
"2025-06-12 14:28:48","BUY","NIFTY2561225050PE","MIS","0/1500",209,"REJECTED",""
"2025-06-12 14:27:07","SELL","NIFTY2561224800CE","MIS","1500/1500",55,"COMPLETE",""
"2025-06-12 14:25:59","SELL","NIFTY2561224800CE","MIS","0/1500",73,"CANCELLED",""
"2025-06-12 14:24:22","BUY","NIFTY2561224800CE","MIS","1500/1500",71.31,"COMPLETE",""
"2025-06-12 14:23:25","SELL","NIFTY2561224800CE","MIS","1500/1500",84,"COMPLETE",""
"2025-06-12 14:23:22","BUY","NIFTY2561224800CE","MIS","1500/1500",83,"COMPLETE",""
"2025-06-12 14:22:57","SELL","NIFTY2561224800CE","MIS","1500/1500",84,"COMPLETE",""
"2025-06-12 14:22:53","BUY","NIFTY2561224800CE","MIS","1500/1500",83,"COMPLETE",""
"2025-06-12 14:22:05","SELL","NIFTY2561224800CE","MIS","1500/1500",84,"COMPLETE",""
"2025-06-12 14:21:42","BUY","NIFTY2561224800CE","MIS","1500/1500",78.1,"COMPLETE",""
"2025-06-12 14:19:27","SELL","NIFTY2561224800CE","MIS","1500/1500",62.31,"COMPLETE",""
"2025-06-12 14:19:24","SELL","NIFTY2561224800CE","MIS","0/1500",83,"CANCELLED",""
"2025-06-12 14:19:19","SELL","NIFTY2561224800CE","MIS","0/1500",0,"REJECTED",""
"2025-06-12 14:17:14","BUY","NIFTY2561224800CE","MIS","1500/1500",77.37,"COMPLETE",""
"2025-06-12 14:16:02","SELL","NIFTY2561225050PE","MIS","1500/1500",202.65,"COMPLETE",""
"2025-06-12 14:15:48","BUY","NIFTY2561225050PE","MIS","1500/1500",207,"COMPLETE",""
"2025-06-12 14:15:19","SELL","NIFTY2561225050PE","MIS","1500/1500",208.41,"COMPLETE",""
"2025-06-12 14:14:18","BUY","NIFTY2561225050PE","MIS","1500/1500",210.9,"COMPLETE",""
"2025-06-12 14:13:19","SELL","NIFTY2561225050PE","MIS","1500/1500",203.8,"COMPLETE",""
"2025-06-12 14:13:12","BUY","NIFTY2561225050PE","MIS","1500/1500",213.14,"COMPLETE",""
"2025-06-12 14:12:11","SELL","NIFTY2561225050PE","MIS","1500/1500",215.6,"COMPLETE",""
"2025-06-12 14:12:09","BUY","NIFTY2561225050PE","MIS","1500/1500",216.23,"COMPLETE",""
"2025-06-12 14:11:44","SELL","NIFTY2561225050PE","MIS","1500/1500",211.05,"COMPLETE",""
