"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 08-Feb-2023"
"NIFTY 50","21,727.00","21,804.45","21,629.90","21,717.95","21,782.50","64.55","0.30","34,92,22,850","31,175.97","22,126.80","16,828.35","0.80","21.52"
"GRASIM","2,057.25","2,182.00","2,046.90","2,057.30","2,179.05","121.75","5.92","20,10,089","428.45","2,182.05","1,527.05","-0.33","25.71"
"SBIN","703.65","728.35","694.20","699.55","725.45","25.90","3.70","4,32,35,061","3,076.00","728.35","501.55","11.86","27.25"
"APOLLOHOSP","6,269.40","6,473.95","6,213.60","6,231.00","6,433.75","202.75","3.25","9,33,104","591.78","6,473.95","4,168.00","7.47","41.90"
"SUNPHARMA","1,500.90","1,539.00","1,492.25","1,499.60","1,532.80","41.70","2.80","63,43,881","966.62","1,539.00","922.45","13.26","48.04"
"ICICIBANK","988.85","1,013.75","985.50","989.30","1,010.95","21.65","2.19","1,27,99,837","1,286.47","1,059.40","810.30","0.97","15.16"
"ADANIPORTS","1,252.60","1,275.50","1,232.10","1,245.20","1,272.40","27.20","2.18","35,38,164","444.86","1,291.25","533.65","4.02","107.79"
"HEROMOTOCO","4,840.00","4,924.00","4,792.10","4,807.90","4,905.00","97.10","2.02","7,18,094","348.98","4,924.00","2,246.00","16.91","83.88"
"BRITANNIA","4,875.55","4,978.05","4,860.05","4,875.55","4,967.00","91.45","1.88","4,11,953","202.95","5,386.05","4,153.00","-4.82","6.11"
"AXISBANK","1,039.95","1,054.90","1,034.55","1,035.90","1,052.60","16.70","1.61","82,33,454","861.53","1,151.85","814.30","-7.22","18.83"
"CIPLA","1,428.10","1,447.55","1,417.05","1,420.20","1,442.00","21.80","1.53","12,15,784","174.46","1,457.70","852.00","10.15","36.68"
"ADANIENT","3,184.45","3,224.95","3,121.20","3,168.60","3,215.00","46.40","1.46","15,72,789","500.50","3,277.95","1,103.75","5.11","46.41"
"NESTLEIND","2,442.85","2,465.90","2,420.05","2,423.05","2,451.95","28.90","1.19","8,38,819","204.86","2,769.30","1,788.00","-6.54","-87.24"
"BAJFINANCE","6,580.00","6,677.70","6,572.00","6,575.65","6,654.00","78.35","1.19","12,09,874","803.96","8,192.00","5,485.70","-14.88","3.53"
"TITAN","3,549.10","3,597.90","3,532.85","3,549.10","3,589.95","40.85","1.15","8,38,509","299.93","3,886.95","2,321.00","-3.92","43.88"
"EICHERMOT","3,820.00","3,847.95","3,761.60","3,807.30","3,844.95","37.65","0.99","3,96,729","151.27","4,200.00","2,836.00","-1.63","17.95"
"ASIANPAINT","2,930.00","2,959.00","2,910.55","2,929.60","2,955.95","26.35","0.90","11,44,765","336.40","3,568.00","2,700.10","-10.34","5.93"
"LTIM","5,470.00","5,470.00","5,362.00","5,420.80","5,465.00","44.20","0.82","1,96,922","106.79","6,442.00","4,132.20","-8.27","14.98"
"KOTAKBANK","1,730.00","1,749.00","1,719.00","1,729.70","1,742.00","12.30","0.71","40,63,976","705.29","2,064.40","1,643.50","-5.31","-2.03"
"INDUSINDBK","1,480.25","1,491.40","1,462.65","1,477.30","1,487.00","9.70","0.66","23,88,841","352.76","1,694.50","990.20","-9.09","28.98"
"RELIANCE","2,908.00","2,943.95","2,901.90","2,900.25","2,917.30","17.05","0.59","62,78,399","1,836.04","2,949.80","2,180.00","12.39","23.31"
"WIPRO","490.90","494.75","482.75","488.85","491.00","2.15","0.44","39,46,894","192.88","529.00","352.00","8.45","20.18"
"HDFCBANK","1,392.15","1,414.20","1,387.00","1,403.05","1,408.00","4.95","0.35","2,83,21,062","3,971.77","1,757.50","1,380.25","-14.99","-15.17"
"HINDUNILVR","2,417.05","2,428.45","2,406.10","2,417.05","2,425.00","7.95","0.33","8,86,474","214.79","2,769.65","2,365.45","-6.31","-6.42"
"BAJAJ-AUTO","7,778.80","7,790.50","7,669.00","7,757.25","7,780.00","22.75","0.29","1,73,555","134.45","7,838.00","3,625.60","9.35","99.91"
"ITC","410.10","424.20","408.60","414.55","415.00","0.45","0.11","3,22,83,965","1,346.95","499.70","369.65","-10.76","10.38"
"TECHM","1,317.00","1,321.45","1,305.95","1,309.25","1,310.00","0.75","0.06","10,85,349","142.37","1,416.30","981.05","5.96","29.49"
"BAJAJFINSV","1,586.25","1,587.30","1,562.70","1,570.55","1,571.00","0.45","0.03","10,49,368","164.80","1,741.00","1,215.00","-6.65","14.73"
"TCS","4,136.55","4,184.75","4,100.00","4,134.10","4,132.00","-2.10","-0.05","21,00,596","868.70","4,184.75","3,070.25","12.04","17.44"
"MARUTI","10,711.25","10,770.00","10,611.10","10,743.90","10,710.00","-33.90","-0.32","6,45,489","691.65","10,973.50","8,130.00","7.18","21.61"
"LT","3,336.25","3,390.00","3,308.95","3,335.50","3,324.00","-11.50","-0.34","31,21,873","1,038.91","3,737.90","2,082.10","-6.20","56.53"
"DRREDDY","6,140.00","6,205.20","6,104.20","6,160.05","6,134.00","-26.05","-0.42","2,47,794","152.46","6,219.95","4,297.00","7.14","37.26"
"HCLTECH","1,640.00","1,646.75","1,614.65","1,633.80","1,624.90","-8.90","-0.54","33,41,297","543.96","1,647.70","1,016.25","11.87","42.69"
"ULTRACEMCO","10,074.80","10,074.80","9,852.00","9,997.65","9,942.00","-55.65","-0.56","4,00,823","398.35","10,526.00","6,991.00","1.00","37.89"
"DIVISLAB","3,697.50","3,697.50","3,613.50","3,684.40","3,655.00","-29.40","-0.80","4,15,749","151.70","4,074.40","2,730.00","-7.54","31.63"
"TATACONSUM","1,142.00","1,149.40","1,119.85","1,137.90","1,128.00","-9.90","-0.87","9,17,196","103.89","1,190.95","686.60","2.36","57.08"
"TATAMOTORS","926.00","927.40","906.05","924.30","915.70","-8.60","-0.93","79,04,881","722.98","950.00","400.45","15.57","110.02"
"BPCL","623.00","623.70","592.30","620.50","614.50","-6.00","-0.97","1,47,62,133","898.28","635.35","314.05","34.91","85.67"
"COALINDIA","462.20","463.80","435.65","459.20","454.75","-4.45","-0.97","1,74,72,069","784.25","468.60","207.60","19.16","113.09"
"UPL","467.90","467.90","453.30","464.85","459.70","-5.15","-1.11","58,81,661","269.07","780.00","453.30","-16.72","-35.67"
"HDFCLIFE","591.70","594.15","582.25","591.70","585.00","-6.70","-1.13","24,53,771","143.74","710.60","457.80","-7.68","16.35"
"POWERGRID","278.60","279.45","269.10","276.20","273.00","-3.20","-1.16","2,44,96,638","670.72","289.40","157.84","13.99","30.28"
"SBILIFE","1,468.00","1,468.00","1,436.50","1,459.05","1,442.00","-17.05","-1.17","5,96,482","86.37","1,495.35","1,054.00","0.67","25.29"
"JSWSTEEL","824.90","825.00","800.45","822.10","811.80","-10.30","-1.25","13,96,058","113.13","895.75","649.05","0.09","12.32"
