"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 27-Feb-2023"
"NIFTY500 MULTICAP 50:25:25","14,080.70","14,086.30","13,814.90","14,052.70","13,840.45","-212.25","-1.51","3,85,12,85,308","74,633.45","14,101.55","5,531.55","2.90","45.93"
"RAINBOW","1,294.00","1,487.65","1,285.10","1,286.35","1,452.20","165.85","12.89","32,26,540","450.83","1,487.65","697.00","17.44","96.40"
"AEGISCHEM","420.00","451.00","420.00","416.85","439.00","22.15","5.31","20,74,349","91.35","471.90","280.00","14.17","25.26"
"PFIZER","4,384.20","4,607.25","4,376.70","4,384.20","4,590.00","205.80","4.69","46,747","21.07","4,839.80","3,408.00","6.32","19.85"
"HAVELLS","1,479.00","1,550.00","1,471.20","1,469.15","1,528.00","58.85","4.01","62,73,879","955.74","1,550.00","1,131.80","18.91","31.21"
"KEC","700.50","737.50","700.35","697.60","724.10","26.50","3.80","29,10,760","211.31","747.70","442.90","18.04","58.14"
"MFSL","945.00","979.95","941.50","935.40","967.00","31.60","3.38","33,35,190","321.69","1,067.50","599.10","9.81","37.87"
"VGUARD","325.65","344.40","324.50","322.30","332.40","10.10","3.13","76,08,365","256.46","344.40","237.50","12.51","36.89"
"SPARC","342.05","356.90","338.50","344.85","355.45","10.60","3.07","5,34,547","18.69","423.35","162.10","-","-"
"ASTERDM","474.75","495.90","471.45","474.10","487.95","13.85","2.92","17,49,769","84.92","495.90","216.60","12.60","112.28"
"MOTHERSON","115.90","119.45","114.85","115.35","118.45","3.10","2.69","3,07,25,751","362.93","123.40","61.80","2.73","51.12"
"MANYAVAR","985.30","1,026.50","985.30","990.70","1,016.90","26.20","2.64","8,05,806","81.29","1,487.90","933.00","-9.28","-14.83"
"TEJASNET","736.50","763.75","734.00","733.15","750.00","16.85","2.30","5,45,493","40.94","940.00","545.50","-2.70","35.63"
"TRITURBINE","465.30","498.70","447.95","459.20","469.00","9.80","2.13","1,02,60,156","488.85","498.70","290.90","20.81","55.03"
"KALYANKJIL","371.00","390.00","368.10","370.50","378.40","7.90","2.13","23,89,486","90.67","409.70","100.95","6.63","228.13"
"LAURUSLABS","400.10","408.60","397.30","399.95","406.00","6.05","1.51","39,95,040","161.04","444.70","278.85","6.93","28.53"
"TIMKEN","2,705.90","2,793.00","2,705.90","2,697.70","2,735.00","37.30","1.38","1,45,259","40.14","3,569.85","2,660.00","-16.73","-6.88"
"KIMS","2,240.70","2,307.00","2,240.00","2,262.95","2,290.00","27.05","1.20","1,73,612","39.30","2,307.00","1,282.00","10.39","70.80"
"LINDEINDIA","5,499.80","5,550.00","5,420.00","5,483.95","5,545.00","61.05","1.11","26,291","14.46","6,790.00","3,640.40","-3.11","45.69"
"POLICYBZR","1,146.80","1,177.00","1,113.05","1,135.45","1,148.00","12.55","1.11","28,04,836","321.60","1,177.00","545.10","30.80","111.45"
"CARBORUNIV","1,035.00","1,065.85","1,033.95","1,037.00","1,048.40","11.40","1.10","5,46,526","57.74","1,304.90","923.35","-8.16","9.11"
"GILLETTE","6,417.65","6,537.00","6,408.55","6,417.65","6,488.00","70.35","1.10","19,596","12.69","7,335.65","4,135.25","-0.38","36.24"
"WHIRLPOOL","1,260.00","1,290.00","1,247.65","1,263.20","1,277.00","13.80","1.09","4,04,123","51.33","1,733.00","1,186.10","-2.43","-1.93"
"INDUSTOWER","240.50","250.40","234.50","240.25","242.85","2.60","1.08","5,40,16,111","1,316.16","252.90","135.80","8.52","46.50"
"SHOPERSTOP","743.30","752.25","730.00","735.40","743.00","7.60","1.03","30,198","2.24","888.50","573.80","4.24","15.03"
"CERA","7,634.95","7,701.40","7,606.25","7,619.75","7,697.70","77.95","1.02","10,625","8.13","9,740.00","5,882.65","-6.45","20.29"
"POWERINDIA","5,871.60","5,951.70","5,810.10","5,856.20","5,910.00","53.80","0.92","22,126","13.01","6,520.00","3,030.10","0.41","78.49"
"INTELLECT","1,061.00","1,084.00","1,052.70","1,058.70","1,068.00","9.30","0.88","13,71,046","145.85","1,084.00","388.65","16.59","135.69"
"MAZDOCK","2,145.05","2,230.00","2,094.95","2,092.55","2,110.00","17.45","0.83","45,16,770","981.77","2,492.00","612.00","-9.80","200.18"
"ICICIPRULI","520.00","530.40","520.00","518.85","522.95","4.10","0.79","13,15,159","69.07","615.60","380.70","7.61","29.15"
"HINDUNILVR","2,411.10","2,425.00","2,401.00","2,405.30","2,423.85","18.55","0.77","6,29,152","151.93","2,769.65","2,346.75","-0.28","-1.89"
"AAVAS","1,488.40","1,499.00","1,464.70","1,459.65","1,469.00","9.35","0.64","2,40,082","35.51","1,912.55","1,335.50","-2.24","-20.98"
"JUSTDIAL","913.05","961.00","911.00","918.15","924.00","5.85","0.64","11,06,161","103.76","961.00","565.00","9.81","59.41"
"JKPAPER","366.00","375.90","365.65","366.40","368.70","2.30","0.63","7,12,566","26.38","452.00","306.40","-12.48","-5.13"
"ZFCVINDIA","14,550.00","14,680.50","14,317.10","14,499.00","14,590.00","91.00","0.63","3,212","4.66","17,700.00","9,860.00","-12.80","40.47"
"GPIL","750.00","750.00","725.45","735.70","740.00","4.30","0.58","2,44,201","18.02","844.40","337.85","-2.34","117.15"
"CDSL","1,923.00","1,980.00","1,917.00","1,913.95","1,925.00","11.05","0.58","21,28,319","415.91","2,067.00","880.90","9.09","97.09"
"CROMPTON","291.80","295.60","289.65","290.80","292.30","1.50","0.52","58,12,712","169.60","327.95","251.00","-4.38","-3.02"
"AETHER","869.50","892.00","864.00","869.50","873.80","4.30","0.49","1,46,561","12.91","1,209.00","778.00","3.48","0.19"
"ABFRL","229.20","236.00","229.05","228.90","230.00","1.10","0.48","1,18,67,178","276.30","266.00","184.40","-4.43","-0.02"
"BHEL","223.65","230.45","221.00","222.60","223.50","0.90","0.40","3,66,80,021","828.05","243.25","66.30","2.18","234.87"
"DELHIVERY","483.00","484.00","466.55","470.70","472.50","1.80","0.38","61,27,254","289.49","488.00","314.10","17.78","36.88"
"KPRMILL","765.45","773.00","755.00","765.45","767.80","2.35","0.31","1,22,328","9.35","928.15","535.85","-0.19","29.37"
"FLUOROCHEM","3,683.85","3,734.00","3,581.25","3,683.85","3,695.00","11.15","0.30","78,547","28.78","3,920.00","2,537.00","3.97","19.79"
"CRAFTSMAN","4,257.00","4,324.95","4,225.05","4,264.00","4,275.00","11.00","0.26","17,313","7.37","5,513.65","2,735.00","-10.43","28.70"
"GOCOLORS","1,134.80","1,150.95","1,134.80","1,137.20","1,140.00","2.80","0.25","36,301","4.15","1,404.70","876.05","2.20","29.29"
"KEI","3,280.00","3,314.75","3,238.45","3,262.10","3,270.00","7.90","0.24","1,39,443","45.65","3,418.85","1,554.05","2.67","100.52"
"COROMANDEL","1,040.00","1,057.30","1,040.00","1,039.50","1,042.00","2.50","0.24","2,38,993","25.06","1,271.55","841.50","-7.15","17.54"
"LODHA","1,160.00","1,174.00","1,115.05","1,147.25","1,150.00","2.75","0.24","6,95,676","79.23","1,225.95","357.50","9.05","42.58"
"GODFRYPHLP","2,818.95","2,913.45","2,753.05","2,808.65","2,815.00","6.35","0.23","1,24,416","35.41","2,913.45","1,620.00","23.91","64.87"
"MARICO","523.25","525.95","520.70","523.25","524.40","1.15","0.22","23,28,617","121.66","595.00","462.70","-0.33","6.78"
"HINDCOPPER","254.40","260.90","252.60","253.00","253.50","0.50","0.20","1,08,82,873","279.93","306.85","93.85","-9.93","161.80"
