"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 08-Feb-2023"
"ZEEL","195.00","206.40","185.25","193.30","204.80","11.50","5.95","6,98,98,250","1,372.94","299.70","152.50","-24.58","-13.38"
"GRASIM","2,057.25","2,182.00","2,046.90","2,057.30","2,179.05","121.75","5.92","20,10,089","428.45","2,182.05","1,527.05","-0.33","25.71"
"IDEA","14.90","15.65","14.40","14.80","15.60","0.80","5.41","54,79,88,511","828.01","18.40","5.70","-8.64","87.34"
"BANKBARODA","253.35","266.50","247.50","253.10","265.85","12.75","5.04","4,62,01,039","1,192.40","266.50","153.15","13.40","50.65"
"ACC","2,520.00","2,645.00","2,506.80","2,510.85","2,629.70","118.85","4.73","18,28,299","474.71","2,645.00","1,592.35","8.71","27.21"
"AARTIIND","639.00","666.00","623.00","633.50","663.05","29.55","4.66","61,26,957","399.56","691.75","438.00","5.01","15.64"
"INDIACEM","238.50","249.75","228.50","237.35","247.20","9.85","4.15","90,10,872","219.47","277.00","167.20","-8.18","22.79"
"SBIN","703.65","728.35","694.20","699.55","725.45","25.90","3.70","4,32,35,061","3,076.00","728.35","501.55","11.86","27.25"
"OFSS","7,270.05","7,590.00","7,075.00","7,233.15","7,485.00","251.85","3.48","4,16,579","306.87","7,590.00","3,102.60","66.32","128.20"
"APOLLOHOSP","6,269.40","6,473.95","6,213.60","6,231.00","6,433.75","202.75","3.25","9,33,104","591.78","6,473.95","4,168.00","7.47","41.90"
"BHARATFORG","1,285.00","1,321.25","1,272.80","1,282.30","1,319.45","37.15","2.90","19,36,968","252.66","1,321.25","743.55","0.66","48.00"
"MCDOWELL-N","1,075.05","1,113.00","1,071.05","1,081.05","1,112.00","30.95","2.86","14,38,336","157.56","1,146.00","730.55","-1.40","36.63"
"AMBUJACEM","564.70","582.25","552.55","563.35","576.60","13.25","2.35","69,56,624","398.08","586.45","324.30","7.26","46.46"
"SUNPHARMA","1,500.90","1,539.00","1,492.25","1,499.60","1,532.80","41.70","2.80","63,43,881","966.62","1,539.00","922.45","13.26","48.04"
"ATUL","6,293.95","6,398.00","6,133.80","6,234.70","6,372.00","137.30","2.20","44,981","28.29","7,589.90","6,122.05","-8.37","-13.28"
"ICICIBANK","988.85","1,013.75","985.50","989.30","1,010.95","21.65","2.19","1,27,99,837","1,286.47","1,059.40","810.30","0.97","15.16"
"ADANIPORTS","1,252.60","1,275.50","1,232.10","1,245.20","1,272.40","27.20","2.18","35,38,164","444.86","1,291.25","533.65","4.02","107.79"
"HEROMOTOCO","4,840.00","4,924.00","4,792.10","4,807.90","4,905.00","97.10","2.02","7,18,094","348.98","4,924.00","2,246.00","16.91","83.88"
"GODREJPROP","2,232.00","2,265.45","2,175.35","2,216.75","2,259.95","43.20","1.95","5,99,951","133.03","2,453.70","1,005.00","-1.08","87.20"
"RBLBANK","257.40","262.55","252.15","255.45","260.25","4.80","1.88","74,32,713","191.36","300.70","131.60","-9.12","53.15"
"BRITANNIA","4,875.55","4,978.05","4,860.05","4,875.55","4,967.00","91.45","1.88","4,11,953","202.95","5,386.05","4,153.00","-4.82","6.11"
"SIEMENS","4,230.70","4,301.20","4,155.90","4,226.55","4,301.20","74.65","1.77","2,31,257","98.31","4,335.00","3,078.30","0.79","35.42"
"SYNGENE","730.95","751.95","722.45","735.35","748.15","12.80","1.74","10,34,372","76.87","860.25","545.00","1.90","30.94"
"AXISBANK","1,039.95","1,054.90","1,034.55","1,035.90","1,052.60","16.70","1.61","82,33,454","861.53","1,151.85","814.30","-7.22","18.83"
