cr,code,dr
"""32909076.03""","""23104""","""38934829.82"""
"""9844241.94""","""23105""","""253530831.3"""
"""16078416""","""23108""","""216463800"""
"""19919217.53""","""23109""","""310701261.87"""
"""1691702""","""23110""","""3472020"""
"""2366678749.92""","""23111""","""4722732595.81"""
"""180640585.8""","""23112""","""804401531"""
"""464""","""23151""","""464"""
"""3331568.4""","""23198""","""27841766.63"""
"""370964.64""","""23199""","""327747.85"""
"""12107.98""","""23204""","""336985.22"""
"""74252.4""","""23205""","""3765396.5"""
"""0""","""23209""","""54848.75"""
"""6721909.78""","""23211""","""112598946.63"""
"""3077115""","""23212""","""16449593.87"""
"""1162105.46""","""23222""","""12597943.66"""
"""0""","""23223""","""149786.75"""
"""462108.61""","""23228""","""2284505.94"""
"""2382500.57""","""23304""","""25840"""
"""1858458.75""","""23305""","""0"""
"""217528221""","""23308""","""17230500"""
"""339080327.77""","""23309""","""48907715.8"""
"""1777007.18""","""23310""","""0"""
"""2819242284.74""","""23311""","""360572439.5"""
"""661662136.04""","""23312""","""50810643.47"""
"""1041565.02""","""23316""","""1041565.02"""
"""66089.51""","""23334""","""0"""
"""27326""","""23335""","""0"""
"""101626.25""","""23339""","""46777.5"""
"""110303065.53""","""23341""","""7830938.01"""
"""13607261.87""","""23342""","""803410"""
"""842241""","""23354""","""447115"""
"""10988693.61""","""23361""","""501032.91"""
"""153513.36""","""23362""","""2254"""
"""1717905.97""","""23369""","""54571.87"""
"""140100""","""23374""","""11000"""
"""2460.24""","""23375""","""0"""
"""37414527.62""","""23376""","""6007401.77"""
"""113002.4""","""23378""","""5671.38"""
"""6286.82""","""23379""","""237.09"""
"""650949.35""","""23382""","""0"""
"""4345390.02""","""23392""","""6743.66"""
"""498137.25""","""23393""","""0"""
"""90034.12""","""23394""","""17351.64"""
"""23299822.1""","""23398""","""26187"""
"""573020""","""23399""","""273039"""
"""0""","""23614""","""257103"""
"""12052""","""23704""","""164984"""
"""0""","""23705""","""544720"""
"""250866""","""23706""","""39920462.06"""
"""0""","""23708""","""92670.97"""
"""0""","""23709""","""5936.59"""
"""0""","""23722""","""674401.25"""
"""0""","""23733""","""498137.25"""
"""601851.68""","""23792""","""5162229.38"""
"""43258.5""","""23851""","""3828"""
"""14172051""","""24110""","""17662951"""
"""18822251""","""24111""","""15251351"""
"""4182663082.78""","""24301""","""4182663082.78"""
"""1079300""","""24391""","""1159300"""
"""154772950.13""","""33030""","""0"""
"""0""","""33965""","""163385699.44"""
"""839475""","""37030""","""26163415"""
"""51822.03""","""37212""","""0"""
"""1171500""","""37297""","""1171500"""
"""1225204""","""37299""","""1225204"""
"""5091173""","""37301""","""5091173"""
"""179176""","""37302""","""578647"""
"""1920180""","""37304""","""1920180"""
"""7333800""","""37306""","""7333800"""
"""635860""","""37307""","""0"""
"""2323000""","""37308""","""2323000"""
"""1461704""","""37309""","""639700"""
"""0""","""37310""","""5045352"""
"""1616000""","""37314""","""1616000"""
"""61654""","""37317""","""61654"""
"""2193600""","""37318""","""2193600"""
"""1693000""","""37319""","""1693000"""
"""0""","""37442""","""89723"""
"""0""","""37904""","""138750"""
"""0""","""37953""","""95045"""
"""72600""","""37964""","""72600"""
"""574254""","""41148""","""574254"""
"""27766.85""","""46501""","""0"""
"""2581114.69""","""46955""","""300925.84"""
"""2581114.69""","""46956""","""300925.84"""
"""839976""","""46981""","""698545"""
"""1987218""","""46982""","""1727356"""
"""0""","""46983""","""8484256.73"""
"""72600""","""48109""","""0"""
"""71153924""","""48111""","""46394994.96"""
"""0""","""48112""","""17913800"""
"""11828""","""48311""","""161386"""
"""5929495""","""48312""","""138745"""
"""257103""","""61134""","""0"""
"""4174578.86""","""61240""","""155855.23"""
"""34589405""","""61241""","""32752010"""
"""220006064.56""","""61250""","""6840191.2"""
"""31870070""","""61251""","""1584400"""
"""173211300""","""61280""","""12056400"""
"""43252500""","""61281""","""3720000"""
"""267533122.82""","""61290""","""16085853.9"""
"""43158805""","""61291""","""3825000"""
"""3472020""","""61310""","""1691702"""
"""1976973536.74""","""61320""","""108855259.87"""
"""2726599427.61""","""61321""","""2234299980"""
"""464""","""61323""","""464"""
"""3277876.31""","""61326""","""218358"""
"""671678400.46""","""61330""","""143382773.07"""
"""129635760""","""61331""","""22516980"""
"""24563890.32""","""61336""","""3113210.4"""
"""336985.22""","""61504""","""12107.98"""
"""3765396.5""","""61505""","""74252.4"""
"""54848.75""","""61509""","""0"""
"""112598946.63""","""61511""","""6721909.78"""
"""16449593.87""","""61512""","""3077115"""
"""12597943.66""","""61522""","""1162105.46"""
"""149786.75""","""61523""","""0"""
"""92670.97""","""61526""","""0"""
"""2284505.94""","""61528""","""462108.61"""
"""5936.59""","""61529""","""0"""
"""165323.4""","""61601""","""12052"""
"""544720""","""61710""","""0"""
"""674401.25""","""61802""","""0"""
"""498137.25""","""61813""","""0"""
"""17842""","""61904""","""0"""
"""39919963.34""","""61906""","""250866"""
"""20705821.07""","""61943""","""2867953.04"""
"""0""","""70609""","""574254"""
"""3163636""","""76196""","""34701729.91"""
"""0""","""78611""","""11828"""
"""0""","""78612""","""5929495"""
"""0""","""78831""","""780555"""
"""0""","""78832""","""1851900"""
"""406647122.38""","""84301""","""4030969654.02"""
"""0""","""84317""","""90043145"" } "
